Experiment,T,t (min),mu0,mu1,mu2,mu3,C
4,26.44,52.9,521940.010,5836206.250,186132574.700,9552455269.310,0.126481
4,26.07,54.16667,539703.190,6362572.480,177367486.430,9771090035.090,0.128302
4,25.89,55.43333,586145.080,6566665.910,189327775.590,9474829856.550,0.126990
4,25.74,56.68333,602982.730,6745559.590,193590892.300,9896175120.840,0.124514
4,25.62,57.95,619052.360,6905289.710,182206125.040,10564098603.110,0.124624
4,25.52,59.23333,666051.060,7047162.350,200751770.360,10183299201.780,0.125415
4,25.43,60.51667,583822.900,7530643.510,211530503.030,10300727237.430,0.125013
4,25.36,61.78333,628928.250,7645274.240,182456986.830,10402523374.450,0.123423
5,40,5,1666.340,25485.450,1675339.890,215883273.230,0.161204
5,38.98,6.25,2301.200,31449.930,1757500.070,270855654.450,0.158563
5,38.11,7.516667,3850.630,47959.630,2437376.210,332514268.560,0.159683
5,37.38,8.766667,4086.610,74318.660,2932041.890,383580839.730,0.158206
5,36.75,10.03333,6150.810,106732.600,4873133.330,459436420.080,0.155366
5,36.23,11.28333,8519.110,172597.800,7147323.450,627816307.390,0.157431
5,35.78,12.55,12856.060,290640.020,10600872.170,844420845.250,0.156745
5,35.41,13.8,19414.940,365807.960,15396720.890,1091050009.380,0.154544
5,35.09,15.06667,23983.850,549320.780,20758723.140,1401763471.760,0.154513
5,34.82,16.31667,38621.690,694878.680,28093169.910,1841691374.530,0.154197
5,34.59,17.58333,46042.280,846794.680,38292245.550,2710302926.670,0.150016
5,33.37,18.83333,75102.450,1248204.140,43688950.100,3052426912.420,0.149264
5,32.28,20.1,92016.790,1382089.340,54609237.690,3749777692.460,0.146944
5,31.3,21.35,93703.090,1710795.680,69933696.100,4491643184.390,0.144477
5,30.43,22.61667,134561.530,2215916.690,86995341.910,4985781563.320,0.141959
5,29.65,23.88333,138905.950,2227168.900,90591061.450,6267273857.520,0.139561
5,28.95,25.13333,188598.630,3149520.470,106879884.900,6291804110.410,0.135185
5,28.32,26.4,200757.970,3280177.300,105796954.360,6498609586.630,0.135393
5,27.76,27.65,276091.050,3588288.070,127067239.420,8134272408.250,0.132573
5,27.26,28.91667,286751.990,4418221.090,128938575.240,7398234720.570,0.132068
5,26.82,30.18333,251807.890,4428657.890,157822668.350,9503490433.450,0.131720
5,25.99,31.43333,339236.260,3781976.550,143380140.870,8586615255.740,0.129347
5,25.26,32.7,341825.670,4999865.650,150783480.790,9451651895.640,0.127972
5,24.6,33.96667,366463.180,4604561.070,174826842.870,9367058110.720,0.128639
5,24.01,35.21667,417690.840,5586923.180,165275053.100,11273278062.220,0.124320
5,23.49,36.48333,413972.470,5101408.000,181198079.500,11151600370.250,0.124084
5,23.01,37.73333,436523.540,5732322.310,187894328.900,10962666004.070,0.121962
5,22.59,39,490654.770,5967564.260,194216104.430,11847387590.260,0.123827
5,22.21,40.26667,479735.920,5754519.500,180069070.990,12157325406.330,0.121862
5,21.88,41.53333,535058.070,6392798.200,205489717.080,10664431211.040,0.120953
5,19.95,42.78333,486007.120,6676751.480,212938495.100,12219605466.030,0.119710
6,40,5,1479.850,23619.080,1510148.610,233335804.100,0.157882
6,39.69,6.25,2323.630,34058.670,1820117.120,254708259.180,0.160169
6,39.43,7.516667,3337.440,42163.480,2181013.070,310694751.430,0.158467
6,39.21,8.766667,4760.530,69747.680,2815576.600,346993486.930,0.159909
6,39.03,10.03333,6602.180,89715.150,3608017.120,393338523.460,0.156562
6,38.87,11.28333,7002.170,123942.410,5076913.450,474258526.260,0.157123
6,38.74,12.55,10522.700,159945.690,5952804.880,539179293.820,0.157612
6,38.62,13.8,13438.940,212071.430,8136876.400,682995219.370,0.157235
6,38.53,15.06667,14707.570,276769.280,9758900.070,829362962.900,0.156760
6,38.45,16.31667,20714.920,390305.300,14103663.640,954520772.190,0.156196
6,38.38,17.58333,27489.460,513522.250,17055746.650,1149966659.110,0.153974
6,38.01,18.83333,36054.250,548249.820,21066630.430,1479152450.070,0.155539
