Experiment,T,t (min),mu0,mu1,mu2,mu3,C
4,44.99,15.06667,909.46,266048.62,80526146.32,21200993132.55,0.154733
4,45.02,16.31667,909.46,265310.00,80404921.79,21145667193.17,0.155149
4,45.02,17.58333,909.46,265401.82,80464391.68,21023853542.17,0.15507
4,44.99,18.83333,909.46,265259.04,80060151.65,21137167569.51,0.155196
4,44.99,20.1,909.46,264607.29,80149550.14,20953815040.42,0.154606
4,45,21.35,909.46,265299.33,79929720.59,21002081399.76,0.155161
4,45.02,22.61667,909.46,264680.73,79877947.28,20903210430.51,0.155239
4,45.02,23.88333,909.46,264603.74,79833211.77,20807702466.28,0.15554
4,44.99,25.13333,909.46,264537.56,80114581.44,20865412450.69,0.154899
4,45,26.4,909.46,264214.28,79920453.63,20924960243.95,0.155416
4,45,27.65,909.46,264427.60,79571123.47,20986431233.64,0.155461
4,45.01,28.91667,909.46,264117.27,79863953.92,20824295241.73,0.155735
4,45,30.18333,909.46,263812.07,79680486.17,20813517522.81,0.155304
4,44.99,31.43333,909.46,264304.65,79819168.51,20878899345.93,0.155336
4,44.98,32.7,909.46,264271.78,80119255.97,20945073939.43,0.155365
4,44.98,33.96667,909.46,263713.68,79623268.14,20787547282.29,0.156091
4,45,35.21667,909.46,264744.14,79926989.56,20780582446.12,0.155647
4,45.02,36.48333,909.46,263927.17,79753305.28,20624601053.35,0.155668
4,45.02,37.73333,909.46,264169.49,80059550.55,20768416841.69,0.155688
4,45,39,909.46,264677.53,80047732.17,20912581441.43,0.155705
4,45,40.26667,909.46,263866.56,79718041.23,20758208702.73,0.155722
4,44.99,41.53333,909.46,264377.79,79708151.30,20679018039.17,0.156204
4,45.01,42.78333,909.46,263834.11,79699166.95,20749664434.64,0.15575
4,45.02,44.05,909.46,263555.59,79372003.66,20671176918.71,0.155996
4,44.99,45.31667,909.46,263542.25,79523637.19,20817020434.96,0.156242
4,45.01,46.58333,909.46,263793.96,79357109.90,20813754408.08,0.155551
4,44.98,47.83333,909.46,264310.73,79669225.76,20586812238.25,0.156029
4,45.01,49.1,909.46,263771.96,79344364.84,20733302259.98,0.156038
4,45.01,50.36667,909.46,263762.01,79816548.86,20805315786.54,0.156047
4,44.98,51.63333,909.46,263488.72,79651839.79,20653622333.89,0.155588
4,44.99,52.9,909.46,263744.07,79806092.51,20725962858.33,0.155595
4,45,54.16667,909.46,264263.95,79960649.64,20649222275.37,0.155368
4,45.01,55.43333,909.46,263728.35,79319109.16,20721827293.45,0.155843
4,45.01,56.68333,909.46,263985.29,79952097.17,20645381577.33,0.156083
4,45,57.95,909.46,263978.57,79629659.66,20718207321.75,0.155855
4,44.99,59.23333,909.46,264236.13,79785191.42,20567365094.31,0.15586
4,45,60.51667,909.46,264494.06,79463192.21,20640365553.29,0.156099
4,45.02,61.78333,909.46,263960.52,79778415.44,20638895863.25,0.155637
4,45.01,63.06667,909.46,263427.24,79616058.77,20712053469.85,0.156343
4,44.98,64.36667,909.46,263422.11,79931527.68,20785262207.08,0.15588
4,45,65.65,909.46,264209.16,79610290.75,20783997824.85,0.155884
